,words,x,y
0,The,-5.090934,-13.048835
1,Agency,-5.876026,-6.5619607
2,for,12.469209,-8.974272
3,Personal,-11.879501,-20.588528
4,Data,-4.6808534,-12.280145
5,Protection,-5.303064,-11.129961
6,in,14.7359,-7.664498
7,Bosnia,-2.5648458,-3.7443938
8,and,14.3637,-8.748296
9,Herzegovina,-3.4031503,-2.8162327
10,('AZLP'),-3.9535043,-2.0717595
11,"published,",-18.896666,-2.9284124
12,on,5.6529427,-4.6846457
13,10,-7.699648,1.6469399
14,August,-14.037695,6.2841625
15,"2020,",-10.329965,1.8778758
16,an,12.845082,2.0893805
17,opinion,-7.0463433,1.3871042
18,('the,-1.4740477,-8.60371
19,Opinion'),-9.90823,1.5266492
20,"issued,",-19.438347,-5.2516885
21,29,-8.990032,-0.07214393
22,June,-11.94832,-3.6964345
23,regarding,2.2896283,-1.219647
24,Euro,-4.0777454,-0.41720447
25,Parking,-3.1734064,-1.3221271
26,Collection,-2.6599286,-0.84549016
27,plc's,-2.3027086,-0.88001585
28,transferring,4.262006,-4.4558506
29,of,11.787579,-8.704117
30,data,14.244615,-7.6229696
31,belonging,-1.2128872,-1.1249388
32,to,14.512666,-6.388559
33,car,-1.4022155,-1.0130979
34,lease,-1.2337667,-0.9524419
35,"holders,",-1.0505857,-0.6628163
36,with,13.196239,-9.380592
37,unpaid,-1.087198,-0.064304434
38,parking,-2.0150268,1.7318413
39,"tickets,",-1.0958016,0.19908884
40,a,11.458973,-4.8921804
41,third-party,5.163405,2.9260771
42,leasing,-0.25804785,-0.059057526
43,company.,0.0502394,1.7826004
44,In,4.2536373,10.186118
45,"particular,",5.9527216,9.196799
46,the,12.936759,-7.8980722
47,AZLP,-4.030482,5.8905363
48,noted,15.251432,20.464355
49,that,11.478819,-1.8138275
50,cases,3.7127552,-1.2199845
51,where,12.594748,3.0026808
52,subject,11.169076,-2.664562
53,has,13.001173,7.9758973
54,not,18.115026,-0.8053337
55,given,4.6773314,5.28456
56,its,7.155838,-5.0835147
57,consent,11.218826,-5.13743
58,"processing,",10.192134,-4.270257
59,may,15.558743,1.0472769
60,be,18.532318,-0.6247365
61,processed,5.1744595,-3.3883142
62,basis,5.1902876,-4.3558154
63,legitimate,2.7780657,-5.5225616
64,interests,2.043754,-6.8340383
65,controller,9.755444,-4.709946
66,or,19.9764,-6.8694944
67,third,16.04503,-2.2349005
68,"party,",2.5083508,0.37490782
69,transfer,11.382686,-4.0787063
70,party,7.202335,-0.73345596
71,"can,",-0.72104824,-1.4113632
72,further,5.4069586,4.8331356
73,Article,5.3853593,-14.905001
74,17,-4.4914575,-4.0235004
75,Law,-6.424519,-9.303518
76,No.,-9.647924,-12.011009
77,49/06,-6.8090706,-4.566616
78,"PDPL'),",-5.2744966,-2.1237204
79,occur,-4.872184,-1.871471
80,written,1.8384566,-0.15288024
81,request,6.4273996,2.2991967
82,by,13.811228,-9.63496
83,if,19.266102,6.7044635
84,such,23.049875,-6.0118194
85,is,16.665272,1.9221824
86,necessary,13.9848585,-1.7155973
87,statutory,3.3097062,-5.2618613
88,duties,2.2897973,-2.7561278
89,party.,-0.9733264,-0.59186876
90,More,0.096801914,4.212263
91,"specifically,",2.986165,4.0883527
92,highlighted,12.1254425,20.627514
93,proves,0.13044968,-0.19709939
94,existence,-0.76634765,-1.4338313
95,interest,3.1408615,-4.0358973
96,providing,11.598091,-4.337333
97,this,19.482334,7.1205974
98,"company,",0.56713337,3.0058174
99,there,10.883292,9.703455
100,exists,-1.8027512,-0.57651615
101,legal,14.845421,-4.3802214
102,which,16.258577,-5.088533
103,will,18.105867,9.750467
104,allow,7.7636285,-5.042031
105,determine,4.0404515,-1.4573609
106,identity,6.131296,-4.9270177
107,person,8.578849,-5.906071
108,who,8.235248,4.0010185
109,had,6.4420576,6.579698
110,paid,-1.8658259,4.352952
111,ticket.,-1.6273776,1.4861927
112,Information,-10.720599,-14.946549
113,Commissioner's,-8.396032,-3.198241
114,Office,-8.986938,-11.092641
115,('ICO'),-8.447021,-1.0241042
116,"announced,",-20.872366,3.67218
117,12,-10.43565,2.34476
118,2020,-15.621,-4.1599727
119,Age,-3.4544718,0.28845716
120,Appropriate,-3.3986049,0.5601162
121,Design,-2.8576143,-0.23373169
122,Code,-4.051696,-2.4131215
123,Code'),-3.6541662,0.60842997
124,completed,-1.4594456,4.115762
125,parliamentary,-1.8126166,1.5294384
126,process,5.058166,-0.78940547
127,been,15.79707,11.344551
128,issued.,-0.9611464,0.8012904
129,"addition,",9.157275,13.893439
130,ICO,-1.6721685,11.760056
131,come,-1.927511,2.6861205
132,into,3.9740427,2.7005556
133,force,-7.056164,2.142717
134,2,-6.455587,4.169541
135,September,-5.207364,3.496938
136,online,7.1962957,-1.2794821
137,services,6.62577,-5.0376043
138,granted,-1.6756767,0.7198167
139,transition,-0.018251216,2.651007
140,period,4.801842,2.560507
141,months,0.99446434,-3.7110393
142,conform,-1.1592726,-0.8970009
143,same.,0.4900298,-3.1072834
144,This,0.66425467,-0.41660392
145,result,3.5914667,-1.6805475
146,commenced,-1.255398,-0.2838756
147,April,-5.4769626,0.0083622355
148,2019,-3.6336808,-1.6790246
149,launch,-3.4241552,-1.5555938
150,consultation,-5.9132266,0.5826557
151,draft,-2.8180716,-0.95861
152,Code.,-2.021458,-0.4034523
153,contains,0.54266775,2.0477667
154,15,-4.1763206,0.64976406
155,standards,4.246414,-1.2624816
156,age,-3.212802,-3.1819835
157,appropriate,7.3333764,-2.0071018
158,design,0.559646,-1.8211336
159,"services,",6.05116,-2.8863027
160,including,20.110905,-2.5603967
161,best,3.1590977,-5.781528
162,"child,",-1.9950118,-3.281048
163,Impact,-4.203469,-9.724988
164,Assessments,-3.7545867,-5.295579
165,"('DPIAs'),",-2.8297036,-2.9389236
166,"application,",-0.847602,2.0098243
167,"transparency,",1.3990237,-0.31935853
168,connected,0.059824374,0.67168903
169,toys,-1.7875842,0.2520628
170,"devices,",-1.3382994,0.61983955
171,profiling.,-0.8946405,0.9265358
172,published,-2.3890138,11.417486
173,resources,-1.4180193,-0.44244757
174,Resources'),-2.6496584,0.45526227
175,help,1.6944536,2.1717227
176,relevant,6.400428,-0.83838147
177,stakeholders,-0.23760746,-0.70121574
178,comply,5.11435,-5.001667
179,"Code,",-0.08283796,-0.9024408
180,DPIA,0.27952883,-0.9548271
181,template.,-1.2185521,-0.03940143
182,"Moreover,",6.5065875,14.851016
183,Department,-12.446724,-7.782859
184,"Digital,",-3.512336,-1.5372014
185,"Culture,",-3.6796,-0.97483337
