,words,x,y
0,The,-7.2774744,-2.4946432
1,National,-7.9925156,8.992358
2,Privacy,-4.1388083,4.8989463
3,Commission,-11.392298,5.623334
4,('NPC'),-2.9061615,1.0085284
5,"issued,",-15.623568,18.549032
6,on,4.948881,15.410636
7,12,-2.5918243,-0.47244263
8,August,-11.518306,17.239304
9,"2020,",-7.988349,16.156862
10,a,11.416122,15.822964
11,statement,-5.3769617,14.244959
12,reiterating,-1.7392228,1.2194122
13,that,12.667628,9.36773
14,the,13.286609,10.749183
15,Data,-7.53921,3.4680567
16,Act,-10.112304,4.74304
17,of,11.978277,11.722614
18,2012,-4.107838,-3.374741
19,(Republic,-1.4998903,-0.95649123
20,No.,-7.594533,5.174916
21,10173),-1.2629677,-1.1235033
22,('the,-5.8053155,18.162441
23,Act'),-5.5362787,1.3162102
24,is,16.095106,6.47196
25,not,17.685516,4.274845
26,hinderance,-2.1973305,0.4624427
27,to,14.455117,11.115938
28,contact,4.53646,7.0146446
29,tracing,0.2965702,5.046975
30,"initiatives,",-1.3220255,0.1655376
31,highlighting,-0.78396887,0.962413
32,seeks,-2.5091228,-1.8166578
33,protect,8.434962,0.51173097
34,individuals,6.8976955,3.6709852
35,from,16.75931,8.307124
36,"discrimination,",0.28263488,-3.1292205
37,"harassment,",-1.4858265,-1.8910533
38,and,14.125035,10.687375
39,acts,0.8117248,-2.949607
40,social,2.4206896,-3.3250644
41,vigilantism,-1.7848911,-2.1849442
42,amid,-2.1851523,-2.264716
43,COVID-19,2.1108127,2.4512625
44,('Coronavirus'),0.43720835,2.2819767
45,pandemic.,-2.0298254,-1.4955999
46,In,2.6592224,-1.6053525
47,"particular,",3.6941288,-0.13414885
48,NPC,-1.2018465,-3.585519
49,clarified,-2.6163023,-6.0794125
50,does,5.942598,-3.2512057
51,prevent,6.121312,-0.8357409
52,hospitals,-2.1390264,-1.9331703
53,sharing,7.3483663,0.07673395
54,patient's,-0.22978735,-0.7921069
55,data,15.307741,7.9515386
56,proper,2.7826643,0.7945403
57,authorities.,0.7091477,-1.7398984
58,"addition,",6.05318,-8.238542
59,noted,12.074312,-7.1738906
60,are,22.111101,-8.60499
61,mandated,-1.2220225,-1.5267807
62,collect,1.23822,0.5874207
63,information,17.613136,4.0588574
64,patients,3.502381,-1.1486139
65,provide,16.420645,2.6911526
66,it,7.854347,11.942192
67,authorities,6.542022,1.8625869
68,under,15.097862,0.7483233
69,guidelines,-1.5295432,5.5380154
70,set,5.238878,0.48322582
71,by,13.196817,9.270421
72,Department,-11.220727,3.3188195
73,Health.,-1.4229726,-1.193992
74,"Moreover,",4.2511206,-8.621267
75,stated,2.36753,-7.158186
76,has,7.0073767,5.1351223
77,provided,5.866292,1.2148693
78,public,8.830923,13.87812
79,health,14.606946,-2.397019
80,emergency,-0.017759463,-1.3180417
81,bulletings,-0.6420688,-1.1298423
82,advisory,-0.42117354,0.90111184
83,opinions,-0.00947534,-0.8345665
84,as,15.703583,5.0604906
85,guidance,0.46373194,13.697891
86,for,12.951602,11.658852
87,personal,15.782345,3.9791183
88,"controllers,",2.6207674,-2.1284523
89,especially,-0.85887235,-1.3165582
90,healthcare,-0.83203745,-0.5800141
91,providers.,0.23703413,-1.7549461
92,You,-5.6220164,-6.520812
93,can,12.163198,-3.650705
94,read,-4.87855,-3.609094
95,press,-1.6977832,-4.6630135
96,release,-3.1646554,-4.0451818
97,here.,-1.9591532,-1.9806515
98,Government,-3.4711406,-1.5969008
99,Accountability,-3.9366374,-0.91325766
100,Office,-8.366387,1.4839755
101,('GAO'),-4.0908456,-0.31344688
102,"released,",-12.63408,13.018712
103,11,-10.677925,6.2846923
104,its,4.282693,20.024082
105,report,-4.7522545,14.449697
106,Report'),-6.3435645,9.272389
107,privacy,11.984145,8.190243
108,accuracy,-3.4523642,-3.5444942
109,issues,-1.994806,2.559116
110,related,7.735958,-0.5601686
111,commercial,-1.6582211,-1.6316556
112,use,11.533379,5.0424714
113,facial,0.132402,-3.4283412
114,recognition,1.0129783,-4.0828876
115,technology.,-1.3682904,-1.5605958
116,Report,0.91864485,-9.570668
117,"examines,",-2.1707978,-2.2102008
118,among,4.471057,-5.6930423
119,other,10.052713,-0.63513684
120,"things,",9.20277,-7.0785294
121,how,6.7678585,3.850839
122,companies,6.44013,3.8902807
123,"technology,",-0.67356485,-2.9607396
124,varying,-2.1815948,-1.9090878
125,degrees,-1.8974019,-1.7451874
126,across,3.130922,-0.7874216
127,demographic,-0.21420959,0.055944603
128,"groups,",-0.27812678,-0.2854253
129,addressed,1.4934993,-0.8050995
130,in,13.310487,9.575643
131,laws,-0.219703,-1.4217633
132,industry,1.5973352,3.6403677
133,practices.,4.1695576,0.9712072
134,"Specifically,",-1.4399251,-6.7716346
135,"finds,",-3.680916,-2.5555518
136,although,4.6339955,-5.25479
137,technology,6.576799,1.8872309
138,"increased,",-0.8010471,-0.69131976
139,differences,0.7792298,-0.0060223644
140,performance,1.4222854,0.964572
141,exist,-0.88148016,-0.12427823
142,certain,5.896871,-0.5923769
143,with,12.22449,12.20062
144,respect,6.1621037,-1.8337861
145,"privacy,",3.829916,-1.6620317
146,main,3.2322524,-4.6429896
147,concerns,0.30392718,-2.8202786
148,unable,2.8764193,-0.8280846
149,remain,4.6392746,-1.8516833
150,anonymous,3.4878368,-2.130817
151,"public,",-0.33995974,-1.3958973
152,used,10.310228,5.1198735
153,without,10.193487,3.8690667
154,individuals',6.387935,-3.1746945
155,"consent,",3.7741365,1.4384505
156,such,24.5727,-4.120095
157,may,11.034858,6.5435367
158,or,18.47322,9.850775
159,store,0.79825395,0.1463024
160,images,-1.1351612,-0.6955719
161,which,15.735712,10.008558
162,poses,-3.9342372,-1.5562191
163,additional,-2.6959932,1.1820853
164,risks.,-2.075465,-0.5539494
165,As,-6.07931,-1.7609138
166,"such,",-4.2980905,-3.6504848
167,reiterates,-3.4528072,-2.8257878
168,recommendations,3.2001784,1.5633413
169,made,2.1220872,-0.22124222
170,previous,-2.935521,0.77533674
171,"reports,",-2.584229,-0.47137195
172,suggesting,-2.2003026,-1.9937892
173,U.S.,-6.589002,4.545558
174,Congress,-3.2243092,2.8347626
175,should,17.024773,-1.4122043
176,consider,5.664202,-0.19537875
177,strengthening,0.30030537,-0.56559294
178,consumer,5.7228885,-1.9780582
179,framework,8.470739,-0.08580688
180,reflect,2.5122,-2.7498426
181,changes,6.5965934,-1.12195
182,marketplace.,0.83582765,-0.5218659
183,here,-2.1854188,-0.73394465
184,Law,-4.970309,-1.2228361
185,52/2020,-0.6659349,-0.5225908
186,Law'),-3.6710894,4.5538397
187,STAYAWAY,-2.1573904,0.145555
